city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Jakarta Selatan,117.0,70.0,3.0,3.0,2.0,,,,,,1900000000.0,Rumah 2 Lantai di Lebak Bulus Tanah Luas Akses Strategis Termurah,Lebak Bulus,https://www.rumah123.com/properti/jakarta-selatan-lebak-bulus/rumah-mewah-murah-2-lantai-di-lebak-bulus-rumah-dengan-tanah-luas-akses-strategis-di-tengah-kota-rumah-termurah-di-hos40723184/,rumah123_playwright,2026-04-19T10:47:22.921387
Jakarta Selatan,183.0,149.0,5.0,4.0,2.0,,,Baru,,,7000000000.0,Rumah di Kebayoran Baru Jakarta Selatan Tanah Luas Hargamurah,Kebayoran Baru,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-2-lantai-ekslusif-premium-di-kebayoran-baru-jakarta-selatan-dengan-tanah-luas-dan-area-strategis-hos40781522/,rumah123_playwright,2026-04-19T10:47:31.958687
Jakarta Selatan,850.0,384.0,7.0,8.0,7.0,,,Siap Huni,,,14000000000.0,Brand New House 3 Lantai di Cipete Antasari Jakarta Selatan Murah,Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/brand-new-house-3-lantai-di-cipete-antasari-jakarta-selatan-murah-hos40544247/,rumah123_playwright,2026-04-19T10:47:41.861615
Jakarta Selatan,150.0,81.0,5.0,5.0,2.0,,,Siap Huni,,,2550000000.0,Modern Classic di Lebak Bulus 5 Menit MRT Lebakbulus Paling Murah,Lebak Bulus,https://www.rumah123.com/properti/jakarta-selatan-lebak-bulus/rumah-mewah-modern-classic-di-lebak-bulus-lokasi-paling-strategis-tanah-luas-eksklusifdi-jakarta-selatan-hos40781900/,rumah123_playwright,2026-04-19T10:48:05.988789
Jakarta Selatan,80.0,40.0,3.0,2.0,2.0,,,,,,850000000.0,800 Jtan Siaphuni 3 Lantai+ Roofto di Jalan Raya Utama Jagakarsa,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/800-jtan-siaphuni-3-lantai-roofto-di-jalan-raya-utama-jagakarsa-hos41214135/,rumah123_playwright,2026-04-19T10:48:12.805574
Jakarta Timur,233.0,187.0,5.0,4.0,2.0,,,Bagus,,,2300000000.0,Rumah Mewah Murah 3 Lantai Berkonsep American Classic di Cibubur dengan Tanah Luas Area Strategis Dekat dengan Pusat Perbelanjaan Pusat Bisnis Rumah Bagus di Cibubur,Cibubur,https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-mewah-murah-3-lantai-berkonsep-american-classic-di-cibubur-dengan-tanah-luas-area-strategis-dekat-dengan-pusat-hos40724659/,rumah123_playwright,2026-04-19T10:48:20.249538
Jakarta Selatan,160.0,110.0,4.0,4.0,2.0,,,Siap Huni,,,1900000000.0,Rumah Siaphuni Private Pool Dekat Tol Murah di Jagakarsa Jaksel,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-siap-huni-di-jagakarsa-jakarta-selatan-dekat-tol-brigif-hos41199942/,rumah123_playwright,2026-04-19T10:48:29.351558
Jakarta Selatan,117.0,70.0,3.0,3.0,2.0,,,,,,1900000000.0,Rumah 2 Lantai di Lebak Bulus Tanah Luas Akses Strategis Termurah,Lebak Bulus,https://www.rumah123.com/properti/jakarta-selatan-lebak-bulus/rumah-mewah-murah-2-lantai-di-lebak-bulus-rumah-dengan-tanah-luas-akses-strategis-di-tengah-kota-rumah-termurah-di-hos40723184/,rumah123_playwright,2026-04-19T10:48:38.740717
Jakarta Selatan,183.0,149.0,5.0,4.0,2.0,,,Baru,,,7000000000.0,Rumah di Kebayoran Baru Jakarta Selatan Tanah Luas Hargamurah,Kebayoran Baru,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-2-lantai-ekslusif-premium-di-kebayoran-baru-jakarta-selatan-dengan-tanah-luas-dan-area-strategis-hos40781522/,rumah123_playwright,2026-04-19T10:48:47.975772
Jakarta Selatan,850.0,384.0,7.0,8.0,7.0,,,Siap Huni,,,14000000000.0,Brand New House 3 Lantai di Cipete Antasari Jakarta Selatan Murah,Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/brand-new-house-3-lantai-di-cipete-antasari-jakarta-selatan-murah-hos40544247/,rumah123_playwright,2026-04-19T10:48:57.165886
