city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Tangerang,230.0,126.0,5,5,1.0,,,Siap Huni,,,5100000000.0,Jual Murah Rumah 3 Lantai Siap Huni di Sutera Winona Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/jual-murah-rumah-3-lantai-siap-huni-di-sutera-winona-alam-sutera-hos40612384/,rumah123_playwright,2026-04-19T13:35:43.949169
Tangerang,263.0,200.0,2,3,1.0,,SHM,Siap Huni,,,8500000000.0,Rumah Mewah Full Marmer Arsitek Sutera Palmyra Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-mewah-full-marmer-arsitek-sutera-palmyra-alam-sutera-hos41255058/,rumah123_playwright,2026-04-19T13:35:55.257034
Tangerang,360.0,160.0,5,5,2.0,,,,,,6500000000.0,Last Stock Brand New Full Furnish Sutera Feronia Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/last-stock-brand-new-full-furnish-sutera-feronia-alam-sutera-hos39934781/,rumah123_playwright,2026-04-19T13:36:05.797852
Tangerang,200.0,240.0,5,5,2.0,,,Siap Huni,,,6000000000.0,Murah Siap Nego Rumah 4Br Full Furnish Sutera Narada Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/jual-cepat-and-murah-siap-nego-rumah-full-furnished-sutera-narada-hos41211657/,rumah123_playwright,2026-04-19T13:36:16.193716
Tangerang,60.0,60.0,3,2,4.0,,,Siap Huni,,,1060000000.0,Rumah 3 Kamar Siap Huni Tangerang Dèkat Gading Serpong,Bojong Nangka,https://www.rumah123.com/properti/tangerang-bojong-nangka/rumah-3-kamar-siap-huni-tangerang-dkat-gading-serpong-hos41236434/,rumah123_playwright,2026-04-19T13:36:27.094227
Tangerang,150.0,200.0,4,3,2.0,,,,,,3200000000.0,Jual Cepat Hitung Tanah di Sutera Harmoni Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/jual-cepat-hitung-tanah-di-sutera-harmoni-alam-sutera-hos19295848/,rumah123_playwright,2026-04-19T13:36:37.736115
Tangerang,390.0,320.0,6,6,4.0,,,Baru,,,10500000000.0,Discount Besar Ready Huni Last Stock Sutera Winona Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/discount-besar-ready-huni-last-stock-sutera-winona-alam-sutera-hos39768692/,rumah123_playwright,2026-04-19T13:36:48.969103
Tangerang,140.0,136.0,4,4,2.0,,,,,,2900000000.0,Hot Deal Rumah 2 Lantai Ruby Pondok Hijau Golf Brand New,Gading Serpong Pondok Hijau Golf,https://www.rumah123.com/properti/tangerang-gading-serpong-pondok-hijau-golf/turun-harga-rumah-cluster-ruby-ext-pondok-hijau-golf-summarecon-gading-serpong-hos8554016/,rumah123_playwright,2026-04-19T13:36:59.443328
Tangerang,40.0,60.0,1,1,1.0,,,Baru,,,645000000.0,Rumah Serpong Garden 1 Dekat Stasiun Cisauk Tangerang Selatan,Cisauk,https://www.rumah123.com/properti/tangerang-cisauk/rumah-serpong-garden-1-dekat-stasiun-cisauk-tangerang-selatan-hos40122532/,rumah123_playwright,2026-04-19T13:37:08.743626
Tangerang,400.0,300.0,5,5,2.0,,,Butuh Renovasi,,,4700000000.0,Rumah Mewah Suvarna Sutera Fully Furnished Full Renovasi Tinggal Bawa Koper,Suvarna Sutera,https://www.rumah123.com/properti/tangerang-suvarna-sutera/rumah-mewah-suvarna-sutera-fully-furnished-full-renovasi-tinggal-bawa-koper-hos41215480/,rumah123_playwright,2026-04-19T13:37:17.596891
