city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Jakarta Utara,2500.0,1040.0,5.0,5,,,,,,,85000000000.0,Dijual Murah Rumah Mewah Ebony - Pik Hoek Timur Selatan Ukr 1.040M2 View Danau,Pantai Indah Kapuk 2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/dijual-murah-rumah-mewah-ebony-pik-hoek-timur-selatan-ukr-1040m2-view-danau-hos41308235/,rumah123_playwright,2026-04-19T09:48:09.874286
Jakarta Barat,130.0,90.0,4.0,4,2.0,,SHM,,,,2490000000.0,"Rumah di Green Lake City, Cluster Europe Uk. 6X15, 2 Lantai , SHM",Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/rumah-di-green-lake-city-cluster-europe-uk-6x15-2-lantai-shm-hos41203773/,rumah123_playwright,2026-04-19T09:48:17.945690
Jakarta Utara,230.0,128.0,4.0,4,,,,Siap Huni,,,4300000000.0,Jual Cepat Rumah Minimalis Cantik Rapih Siap Huni Lebar 8 Kelapa Gading Row 3 Mobil Full Furnish,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/turun-harga-rumah-minimalis-cantik-rapih-siap-huni-lebar-8-kelapa-gading-row-3-mobil-luas-hos40082516/,rumah123_playwright,2026-04-19T09:48:27.472955
Jakarta Barat,84.0,105.0,5.0,4,4.0,,,,,,3000000000.0,Rumah Mewah di East Terrace Cluster Mewah Dalam Kawasan Metland Puri,Metland Puri,https://www.rumah123.com/properti/jakarta-barat-metland-puri/rumah-2-lantai-east-terrace-cluster-private-di-metland-puri-hos40379431/,rumah123_playwright,2026-04-19T09:48:38.122064
Jakarta Selatan,375.0,76.0,4.0,4,4.0,,,Baru,,,6900000000.0,For Sale Rumah Mewah 4 Lantai Kondisi Baru di Jaksel Super Strategis,Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/for-sale-rumah-mewah-4-lantai-kondisi-baru-di-jaksel-super-strategis-hos39651872/,rumah123_playwright,2026-04-19T09:48:46.576054
Jakarta Utara,555.0,300.0,9.0,9,4.0,,,,,,12800000000.0,Rumah Bgm 12X25 Pik 1 Full Furnish Interior Mewah - Unit Langka Segera Terjual!,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-bgm-12x25-pik-1-full-furnish-interior-mewah-unit-langka-segera-terjual-hos41149590/,rumah123_playwright,2026-04-19T09:48:54.701093
Jakarta Utara,100.0,72.0,3.0,2,,,,,,,2200000000.0,"Rumah Denver 6X12,5, Pik 2, Depan Taman, Murah",Pantai Indah Kapuk 2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/rumah-denver-6x125-pik-2-depan-taman-murah-hos41366410/,rumah123_playwright,2026-04-19T09:49:01.247418
Jakarta Timur,93.0,85.0,5.0,3,1.0,,,Baru,,,1610000000.0,Rumah Baru Type Attic di Mahakam The Signature Jakarta Garden City,Cakung,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-bagus-dan-modern-di-mahakam-the-signature-jakarta-garden-city-hos17656258/,rumah123_playwright,2026-04-19T09:49:10.035692
Jakarta Utara,350.0,176.0,5.0,4,1.0,,SHM,,,,4850000000.0,Di Jual Ruma Bgm Pik 1 Termurah,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/di-jual-rumah-pik-1-hos41419016/,rumah123_playwright,2026-04-19T09:49:16.649286
Jakarta Timur,70.0,60.0,3.0,2,1.0,,,,,,952000000.0,Rumah Keren Dalam Perumahan yang Asri 5 Menit ke Tol Cibubur,Cibubur,https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-keren-dalam-perumahan-yang-asri-5-menit-ke-tol-cibubur-hos41406079/,rumah123_playwright,2026-04-19T09:49:25.894198
Jakarta Pusat,50.0,70.0,2.0,1,1.0,,,Baru,,,1000000000.0,Murah!! Langka Kios Usaha Ramai di Johar Baru,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-usaha-kios-di-jakpus-johar-baru-hos41419147/,rumah123_playwright,2026-04-19T09:49:33.184307
