city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Depok,70,92,2,2,,,,Siap Huni,-6.399198,106.810336,1110000000,Rumah Terawat 14 Menit ke Gerbang Tol Kukusan 3 Bebas Banjir J41876,Pancoran Mas,https://www.rumah123.com/properti/depok-pancoran-mas/rumah-terawat-14-menit-ke-gerbang-tol-kukusan-3-bebas-banjir-j41876-hos41145143/,rumah123_playwright,2026-04-19T12:09:22.154599
Depok,45,90,2,1,,,,Siap Huni,-6.388921,106.892649,670000000,Rumah LT 90 Terawat 14 Menit ke Gerbang Tol Cimanggis Siap Huni J38982,Cimanggis,https://www.rumah123.com/properti/depok-cimanggis/rumah-lt-90-terawat-14-menit-ke-gerbang-tol-cimanggis-siap-huni-j38982-hos40619932/,rumah123_playwright,2026-04-19T12:09:30.657589
Depok,45,75,3,1,,,,Siap Huni,-6.38687,106.892181,920000000,Rumah 5 Menit KRL Ui dan Tol Margonda Dibantu KPR Siap Huni J-40034,Cimanggis,https://www.rumah123.com/properti/depok-cimanggis/rumah-10-menit-ke-cimanggis-square-dibantu-kpr-siap-huni-j40034-hos40847760/,rumah123_playwright,2026-04-19T12:09:40.142733
Depok,45,105,2,1,,,,Siap Huni,-6.445445,106.845182,780000000,Rumah Minimalis di Depok Akses Dekat Faskes LT 105 Hadap Timur J42793,Citayam,https://www.rumah123.com/properti/depok-citayam/rumah-minimalis-di-depok-akses-dekat-faskes-lt-105-hadap-timur-j42793-hos41064516/,rumah123_playwright,2026-04-19T12:09:49.072120
Depok,45,78,2,1,,,SHM,Siap Huni,-6.433042,106.765076,940000000,Rumah Hadap Timur SHM 10 Menit ke Rs Permata Depok Siap KPR J-41924,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-hadap-timur-shm-10-menit-ke-rs-permata-depok-siap-kpr-j41924-hos41181210/,rumah123_playwright,2026-04-19T12:09:57.895929
Depok,113,113,2,2,,,SHM,Siap Huni,-6.448525,106.85398,560000000,Rumah LT 113 SHM 15 ke Stasiun Citayam Siap KPR J-41018,Citayam,https://www.rumah123.com/properti/depok-citayam/rumah-lt-113-shm-15-ke-stasiun-citayam-siap-kpr-j41018-hos40949259/,rumah123_playwright,2026-04-19T12:10:06.044497
Depok,55,70,3,2,,,,Siap Huni,-6.432565,106.77427,790000000,Rumah 2 Lantai 12 Menit ke Gerbang Tol Sawangan 4 Hadap Selatan J39631,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-2-lantai-12-menit-ke-gerbang-tol-sawangan-4-hadap-selatan-j39631-hos40907567/,rumah123_playwright,2026-04-19T12:10:14.700933
Depok,45,85,2,1,,,,Siap Huni,-6.434397,106.774344,590000000,Rumah Minimalis Dekat Gerbang Tol Sawangan 4 LT 85 Hadap Timur J33989,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-minimalis-dekat-gerbang-tol-sawangan-4-lt-85-hadap-timur-j33989-hos40279807/,rumah123_playwright,2026-04-19T12:10:41.530256
Depok,60,86,2,1,,,,Siap Huni,-6.341484,106.776014,1280000000,Rumah Terawat 7 Menit ke Gerbang Tol Brigif 4 Siap Huni Bebas Banjir J34920,Cinere,https://www.rumah123.com/properti/depok-cinere/rumah-terawat-7-menit-ke-gerbang-tol-brigif-4-siap-huni-bebas-banjir-j34920-hos40619936/,rumah123_playwright,2026-04-19T12:10:50.853916
Depok,63,90,3,2,,,,Siap Huni,-6.430141,106.767568,1400000000,Rumah 4 Menit ke The Park Sawangan Siap Huni Dibantu KPR J-25062,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-4-menit-ke-the-park-sawangan-siap-huni-dibantu-kpr-j25062-hos40214636/,rumah123_playwright,2026-04-19T12:11:00.180763
Depok,100,65,3,3,4,,,,-6.342151,106.778073,1040000000,Rumah Modern Furnished Dekat Tol Cinere Depok,Cinere,https://www.rumah123.com/properti/depok-cinere/rumah-modern-furnished-dekat-tol-cinere-depok-hos18305531/,rumah123_playwright,2026-04-19T12:11:10.771475
Depok,60,90,2,2,,,SHM,Siap Huni,-6.42697,106.770392,780000000,Rumah Strategis 9 Menit ke The Park Sawangan SHM Dibantu KPR J-36721,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-strategis-9-menit-ke-the-park-sawangan-shm-dibantu-kpr-j36721-hos40013335/,rumah123_playwright,2026-04-19T12:11:19.393619
Depok,36,83,2,1,,,,Siap Huni,-6.396887,106.826103,1000000000,Rumah Minimalis 6 Menit ke Rsu Hermina Depok 1 Lt Siap Huni J39340,Sukmajaya,https://www.rumah123.com/properti/depok-sukmajaya/rumah-minimalis-6-menit-ke-rsu-hermina-depok-1-lt-siap-huni-j39340-hos40619914/,rumah123_playwright,2026-04-19T12:11:28.237010
Depok,160,160,4,3,,,SHM,Siap Huni,-6.407838,106.857726,2550000000,Rumah 2 Lt SHM 10 Menit ke Stasiun Depok Dibantu KPR J-37606,Cilodong,https://www.rumah123.com/properti/depok-cilodong/rumah-2-lt-shm-10-menit-ke-stasiun-depok-dibantu-kpr-j37606-hos40081062/,rumah123_playwright,2026-04-19T12:11:38.273488
Depok,70,83,2,1,,,,Siap Huni,-6.430865,106.766219,750000000,Rumah Siap Huni 13 Menit ke Pintu Tol Sawangan 4 Bebas Banjir J37512,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-siap-huni-13-menit-ke-pintu-tol-sawangan-4-bebas-banjir-j37512-hos40049731/,rumah123_playwright,2026-04-19T12:11:48.289598
Depok,100,103,2,2,,,SHM,,-6.433189,106.771811,1030000000,Rumah 2 Lantai SHM 6 Menit ke Terminal Sawangan LT 103 Dibantu KPR J28826,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-2-lantai-shm-6-menit-ke-terminal-sawangan-lt-103-dibantu-kpr-j28826-hos40477030/,rumah123_playwright,2026-04-19T12:11:56.213639
Depok,60,90,2,1,,,,Siap Huni,-6.413186,106.860252,500000000,Rumah Siap Huni 17 Menit ke Alia Hospital Depok 1 Lt bisa KPR J39269,Cilodong,https://www.rumah123.com/properti/depok-cilodong/rumah-siap-huni-17-menit-ke-alia-hospital-depok-1-lt-bisa-kpr-j39269-hos40619907/,rumah123_playwright,2026-04-19T12:12:06.679536
Depok,46,84,2,1,,,,Siap Huni,-6.39291,106.821069,1330000000,Rumah Terawat 1 LT 10 Menit ke Mall Pesona Square Dibantu KPR J41753,Sukmajaya,https://www.rumah123.com/properti/depok-sukmajaya/rumah-terawat-1-lt-10-menit-ke-mall-pesona-square-dibantu-kpr-j41753-hos41064517/,rumah123_playwright,2026-04-19T12:12:15.935213
Depok,258,144,5,5,,,,Siap Huni,-6.369327,106.787566,1660000000,Rumah LT 144 Strategis 12 Menit ke Gerbang Tol Limo 2 Siap Huni J43807,Limo,https://www.rumah123.com/properti/depok-limo/rumah-lt-144-strategis-12-menit-ke-gerbang-tol-limo-2-siap-huni-j43807-hos41145133/,rumah123_playwright,2026-04-19T12:12:25.130071
